Actual_Next_Total,Predicted_Next_Total,Hour,Minute,DayOfWeekNum,IsWeekend,IntervalIndex,FixedCycle_GivesGreen,Adaptive_GivesGreen,Actual_LowDemand,Actual_HighDemand,FixedCycle_WastedGreen,Adaptive_WastedGreen,FixedCycle_MissedHighDemand,Adaptive_MissedHighDemand,FixedCycle_Outcome,Adaptive_Outcome
42.0,42.64948070136067,2,0,6,1,47,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
39.0,41.47278677635848,2,15,6,1,48,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
34.0,41.96890752769797,2,30,6,1,49,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
40.0,45.14705189341495,2,45,6,1,50,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
50.0,42.12484989512277,3,0,6,1,51,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
60.0,47.90499924405928,3,15,6,1,52,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
38.0,46.33508561916486,3,30,6,1,53,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
46.0,49.961558004741654,3,45,6,1,54,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
160.0,100.9066498221972,4,0,6,1,55,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
135.0,142.59673209048262,4,15,6,1,56,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
79.0,127.57648903192876,4,30,6,1,57,0,1,1,0,0,1,0,0,Acceptable red / low-medium demand,Wasted green
102.0,127.85835649657407,4,45,6,1,58,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
110.0,109.57352229220677,5,0,6,1,59,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
105.0,108.78401206547906,5,15,6,1,60,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
153.0,142.65322194062804,5,30,6,1,61,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
168.0,138.8427172295896,5,45,6,1,62,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
224.0,170.33610604594952,6,0,6,1,63,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
178.0,180.2192714711539,6,15,6,1,64,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
177.0,180.01033009273308,6,30,6,1,65,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
199.0,169.8918114499261,6,45,6,1,66,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
173.0,190.06694046732454,7,0,6,1,67,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
159.0,183.39590469355633,7,15,6,1,68,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
162.0,180.50249174285455,7,30,6,1,69,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
196.0,169.6680587348685,8,0,6,1,70,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
200.0,187.15393970390878,8,15,6,1,71,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
204.0,181.10167680633887,8,30,6,1,72,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
170.0,183.07448026463652,8,45,6,1,73,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
83.0,134.3773833908146,9,0,6,1,74,1,1,1,0,1,1,0,0,Wasted green,Wasted green
93.0,103.33776554272717,9,15,6,1,75,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
103.0,103.51069010264365,9,30,6,1,76,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
110.0,104.865294129572,9,45,6,1,77,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
72.0,95.94594025816406,10,0,6,1,78,1,1,1,0,1,1,0,0,Wasted green,Wasted green
142.0,93.13811004082753,10,15,6,1,79,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
135.0,98.18402452147924,10,30,6,1,80,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
85.0,93.8298569754549,11,0,6,1,81,0,1,1,0,0,1,0,0,Acceptable red / low-medium demand,Wasted green
64.0,90.10447903161813,11,15,6,1,82,1,1,1,0,1,1,0,0,Wasted green,Wasted green
64.0,92.2661243295233,11,30,6,1,83,0,1,1,0,0,1,0,0,Acceptable red / low-medium demand,Wasted green
97.0,89.5858257088804,11,45,6,1,84,1,0,0,0,0,0,0,0,Useful green / acceptable,Acceptable red / low-medium demand
113.0,84.136552456335,12,0,6,1,85,0,0,0,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
108.0,90.07197480429677,12,15,6,1,86,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
114.0,88.02279505065755,12,30,6,1,87,0,0,0,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
80.0,89.34852024602725,12,45,6,1,88,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
99.0,95.53531279931269,13,0,6,1,89,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
113.0,102.00967833491165,13,15,6,1,90,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
139.0,118.8799299798014,13,30,6,1,91,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
120.0,111.4022278023619,13,45,6,1,92,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
66.0,115.68790010109967,14,15,6,1,93,0,1,1,0,0,1,0,0,Acceptable red / low-medium demand,Wasted green
60.0,104.60099410692534,14,30,6,1,94,1,1,1,0,1,1,0,0,Wasted green,Wasted green
124.0,108.25025507237979,14,45,6,1,95,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
142.0,136.98247731603914,15,30,6,1,96,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
204.0,165.75681570664182,16,0,6,1,97,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
194.0,183.3328693267271,16,15,6,1,98,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
207.0,187.16541730259294,16,30,6,1,99,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
202.0,185.61467694641135,16,45,6,1,100,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
185.0,186.23635482786537,17,0,6,1,101,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
205.0,183.73739785890314,17,15,6,1,102,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
183.0,191.4437767755695,17,30,6,1,103,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
168.0,188.06726351708468,17,45,6,1,104,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
214.0,164.79766607492024,18,0,6,1,105,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
183.0,161.09660022666208,18,15,6,1,106,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
95.0,162.13017511649798,18,30,6,1,107,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
136.0,137.65704922501985,18,45,6,1,108,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
134.0,127.90817694769788,19,15,6,1,109,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
133.0,131.35367998664051,19,30,6,1,110,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
117.0,123.85886895580401,19,45,6,1,111,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
120.0,127.25612100638376,20,0,6,1,112,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
119.0,119.79904109305225,20,15,6,1,113,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
132.0,128.48297533916374,20,30,6,1,114,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
100.0,112.99323970690364,21,0,6,1,115,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
150.0,123.59279178596958,21,15,6,1,116,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
128.0,105.14458400105171,21,30,6,1,117,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
46.0,90.86210353413138,21,45,6,1,118,1,1,1,0,1,1,0,0,Wasted green,Wasted green
51.0,41.872584999980546,22,0,6,1,119,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
53.0,43.39950076383269,22,15,6,1,120,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
28.0,43.45149939193652,22,30,6,1,121,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
46.0,43.99225311112212,22,45,6,1,122,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
52.0,40.663452551924664,23,0,6,1,123,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
36.0,43.473206831878066,23,15,6,1,124,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
29.0,43.87920956821693,23,30,6,1,125,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
29.0,44.095927338615894,23,45,6,1,126,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
43.0,41.3792281674917,0,0,0,0,127,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
55.0,41.430540601129714,0,15,0,0,128,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
36.0,41.025676615618806,0,30,0,0,129,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
26.0,43.086391693961794,0,45,0,0,130,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
53.0,43.14753566862749,1,0,0,0,131,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
53.0,40.31476127896971,1,15,0,0,132,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
54.0,42.8016088221478,1,30,0,0,133,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
46.0,44.56996082490124,1,45,0,0,134,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
39.0,40.65590772806473,2,0,0,0,135,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
49.0,41.372770598999786,2,15,0,0,136,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
31.0,43.792550223008455,2,30,0,0,137,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
48.0,42.47836332547434,2,45,0,0,138,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
29.0,46.31495645622074,3,0,0,0,139,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
32.0,40.43630634425998,3,15,0,0,140,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
45.0,44.19330652180175,3,30,0,0,141,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
58.0,57.01237477944568,3,45,0,0,142,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
123.0,103.26935217397794,4,0,0,0,143,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
115.0,102.11209007342373,4,15,0,0,144,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
116.0,112.68874725291184,4,30,0,0,145,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
110.0,118.34713824109123,4,45,0,0,146,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
102.0,113.38262010078255,5,0,0,0,147,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
120.0,126.50451722509285,5,15,0,0,148,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
128.0,124.19508384008469,5,30,0,0,149,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
152.0,136.3603403526839,5,45,0,0,150,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
199.0,160.80560519020744,6,0,0,0,151,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
169.0,176.59879887859742,6,15,0,0,152,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
160.0,182.35143438054985,6,30,0,0,153,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
216.0,179.0080877277688,6,45,0,0,154,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
207.0,176.6860091431042,7,0,0,0,155,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
204.0,178.279128947246,7,15,0,0,156,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
213.0,182.85606816851262,7,30,0,0,157,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
208.0,186.79086195627548,7,45,0,0,158,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
226.0,176.61833689476836,8,0,0,0,159,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
215.0,200.1483929012345,8,15,0,0,160,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
201.0,197.9444815467894,8,30,0,0,161,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
185.0,189.03301481460576,8,45,0,0,162,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
148.0,126.26204658163294,9,0,0,0,163,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
57.0,141.99715298009255,9,15,0,0,164,1,1,1,0,1,1,0,0,Wasted green,Wasted green
88.0,106.46083334713447,9,30,0,0,165,0,1,1,0,0,1,0,0,Acceptable red / low-medium demand,Wasted green
111.0,104.99561287564698,9,45,0,0,166,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
130.0,101.47566270902107,10,0,0,0,167,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
134.0,102.00263659695379,10,15,0,0,168,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
65.0,96.46924044326721,10,45,0,0,169,0,1,1,0,0,1,0,0,Acceptable red / low-medium demand,Wasted green
106.0,90.11531722134539,11,0,0,0,170,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
72.0,88.99489924067953,11,15,0,0,171,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
65.0,86.82106661745819,11,30,0,0,172,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
110.0,87.54311738737091,11,45,0,0,173,0,0,0,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
96.0,91.31598385555435,12,0,0,0,174,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
89.0,90.56185962589359,12,15,0,0,175,0,1,1,0,0,1,0,0,Acceptable red / low-medium demand,Wasted green
74.0,91.44495093402367,12,30,0,0,176,1,1,1,0,1,1,0,0,Wasted green,Wasted green
108.0,89.69470352549985,12,45,0,0,177,0,0,0,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
99.0,105.85836973924228,13,0,0,0,178,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
102.0,113.82776818343524,13,15,0,0,179,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
97.0,111.38255338399581,13,30,0,0,180,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
165.0,109.81073735246908,13,45,0,0,181,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
181.0,122.862414735565,14,15,0,0,182,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
133.0,132.77970343396277,14,30,0,0,183,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
78.0,129.73030489233145,15,0,0,0,184,1,1,1,0,1,1,0,0,Wasted green,Wasted green
82.0,106.74079260980754,15,15,0,0,185,0,1,1,0,0,1,0,0,Acceptable red / low-medium demand,Wasted green
142.0,144.80056028240625,15,30,0,0,186,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
202.0,112.50980470182985,15,45,0,0,187,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
173.0,188.24054005323526,16,0,0,0,188,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
171.0,182.21745244979178,16,15,0,0,189,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
217.0,181.17291160057516,16,30,0,0,190,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
184.0,182.32208688429054,16,45,0,0,191,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
198.0,189.3318716620014,17,0,0,0,192,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
178.0,187.94445931626004,17,15,0,0,193,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
173.0,186.69169117348756,17,30,0,0,194,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
164.0,182.25202869396554,17,45,0,0,195,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
202.0,167.04009798604,18,0,0,0,196,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
214.0,162.96241372307855,18,15,0,0,197,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
146.0,164.7227335544688,18,30,0,0,198,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
141.0,126.93398023639953,18,45,0,0,199,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
100.0,126.85860573455419,19,0,0,0,200,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
150.0,131.94084480855375,19,15,0,0,201,0,1,0,1,0,0,1,0,Missed high-demand,Useful green / acceptable
112.0,125.47016541411713,19,30,0,0,202,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
123.0,125.49229045739582,19,45,0,0,203,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
118.0,126.09194927764882,20,15,0,0,204,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
120.0,121.133090253673,20,30,0,0,205,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
107.0,117.32625314445413,20,45,0,0,206,1,1,0,0,0,0,0,0,Useful green / acceptable,Useful green / acceptable
118.0,131.18819537464225,21,0,0,0,207,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
170.0,126.58535069155795,21,15,0,0,208,1,1,0,1,0,0,0,0,Useful green / acceptable,Useful green / acceptable
112.0,123.4028075258699,21,30,0,0,209,0,1,0,0,0,0,0,0,Acceptable red / low-medium demand,Useful green / acceptable
50.0,84.28330160385825,21,45,0,0,210,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
50.0,43.080882291171,22,0,0,0,211,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
35.0,43.16907326111312,22,15,0,0,212,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
56.0,42.5686145994847,22,30,0,0,213,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
33.0,41.34960954133032,22,45,0,0,214,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
42.0,45.050779018703395,23,0,0,0,215,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
56.0,38.55802190728965,23,15,0,0,216,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
48.0,42.771058285145244,23,30,0,0,217,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
49.0,39.618874922560686,23,45,0,0,218,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
40.0,41.19944248583144,0,0,1,0,219,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
52.0,40.907406177729506,0,15,1,0,220,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
32.0,40.94322215839505,0,30,1,0,221,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
45.0,43.01491491507252,0,45,1,0,222,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
41.0,42.04449543050033,1,0,1,0,223,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
30.0,43.001238248512294,1,15,1,0,224,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
47.0,43.8099073875499,1,30,1,0,225,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
49.0,41.21146296573043,1,45,1,0,226,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
49.0,42.99472200988166,2,0,1,0,227,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
39.0,43.89852598707737,2,15,1,0,228,1,0,1,0,1,0,0,0,Wasted green,Acceptable red / low-medium demand
32.0,41.80164079177805,2,30,1,0,229,0,0,1,0,0,0,0,0,Acceptable red / low-medium demand,Acceptable red / low-medium demand
