Day of the week,TimeSlot,TotalCount
Saturday,88,41.375
Saturday,89,48.375
Saturday,90,43.0
Saturday,91,47.125
Saturday,92,39.625
Saturday,93,41.5
Saturday,94,42.375
Saturday,95,42.125
Sunday,0,47.375
Sunday,1,40.5
Sunday,2,40.0
Sunday,3,48.375
Sunday,4,44.875
Sunday,5,41.25
Sunday,6,44.375
Sunday,7,41.0
Sunday,8,48.0
Sunday,9,37.125
Sunday,10,45.5
Sunday,11,37.875
Sunday,12,44.0
Sunday,13,44.0
Sunday,14,44.625
Sunday,15,44.875
Sunday,16,66.75
Sunday,17,111.875
Sunday,18,116.25
Sunday,19,109.875
Sunday,20,102.625
Sunday,21,105.625
Sunday,22,98.875
Sunday,23,150.25
Sunday,24,175.5
Sunday,25,187.14285714285714
Sunday,26,181.375
Sunday,27,161.0
Sunday,28,169.375
Sunday,29,180.57142857142858
Sunday,30,174.375
Sunday,31,176.33333333333334
Sunday,32,158.0
Sunday,33,171.0
Sunday,34,166.14285714285714
Sunday,35,183.75
Sunday,36,149.16666666666666
Sunday,37,94.25
Sunday,38,101.125
Sunday,39,99.14285714285714
Sunday,40,101.66666666666667
Sunday,41,83.16666666666667
Sunday,42,100.33333333333333
Sunday,43,84.71428571428571
Sunday,44,87.875
Sunday,45,85.375
Sunday,46,82.625
Sunday,47,91.0
Sunday,48,95.375
Sunday,49,91.85714285714286
Sunday,50,80.14285714285714
Sunday,51,83.25
Sunday,52,77.42857142857143
Sunday,53,100.875
Sunday,54,90.33333333333333
Sunday,55,126.85714285714286
Sunday,56,112.42857142857143
Sunday,57,106.14285714285714
Sunday,58,83.85714285714286
Sunday,59,90.66666666666667
Sunday,60,119.0
Sunday,61,77.14285714285714
Sunday,62,95.85714285714286
Sunday,63,138.85714285714286
Sunday,64,188.875
Sunday,65,193.875
Sunday,66,191.625
Sunday,67,199.375
Sunday,68,189.5
Sunday,69,191.42857142857142
Sunday,70,191.125
Sunday,71,183.28571428571428
Sunday,72,190.75
Sunday,73,180.625
Sunday,74,161.5
Sunday,75,135.6
Sunday,76,139.33333333333334
Sunday,77,118.75
Sunday,78,138.875
Sunday,79,125.0
Sunday,80,119.85714285714286
Sunday,81,123.75
Sunday,82,141.83333333333334
Sunday,83,114.2
Sunday,84,131.66666666666666
Sunday,85,131.2
Sunday,86,140.14285714285714
Sunday,87,82.28571428571429
Sunday,88,44.0
Sunday,89,46.875
Sunday,90,44.125
Sunday,91,43.625
Sunday,92,42.875
Sunday,93,37.875
Sunday,94,42.25
Sunday,95,39.625
Thursday,0,46.6
Thursday,1,44.8
Thursday,2,41.0
Thursday,3,41.5
Thursday,4,41.5
Thursday,5,40.0
Thursday,6,40.0
Thursday,7,39.3
Thursday,8,43.4
Thursday,9,46.3
Thursday,10,42.2
Thursday,11,48.2
Thursday,12,39.9
Thursday,13,40.5
Thursday,14,41.1
Thursday,15,44.8
Thursday,16,69.2
Thursday,17,103.3
Thursday,18,96.9
Thursday,19,119.8
Thursday,20,101.3
Thursday,21,111.3
Thursday,22,113.4
Thursday,23,134.9
Thursday,24,179.33333333333334
Thursday,25,176.77777777777777
Thursday,26,171.0
Thursday,27,185.11111111111111
Thursday,28,170.8
Thursday,29,176.0
Thursday,30,177.77777777777777
Thursday,31,173.1
Thursday,32,174.625
Thursday,33,173.0
Thursday,34,185.1
Thursday,35,173.88888888888889
Thursday,36,150.8
Thursday,37,101.57142857142857
Thursday,38,83.8
Thursday,39,84.55555555555556
Thursday,40,82.0
Thursday,41,102.5
Thursday,42,87.2
Thursday,43,93.77777777777777
Thursday,44,90.2
Thursday,45,96.1
Thursday,46,82.22222222222223
Thursday,47,82.55555555555556
Thursday,48,90.8
Thursday,49,88.9
Thursday,50,93.5
Thursday,51,84.7
Thursday,52,78.6
Thursday,53,110.55555555555556
Thursday,54,114.875
Thursday,55,106.44444444444444
Thursday,56,107.55555555555556
Thursday,57,111.5
Thursday,58,98.44444444444444
Thursday,59,116.0
Thursday,60,106.0
Thursday,61,121.88888888888889
Thursday,62,106.88888888888889
Thursday,63,138.88888888888889
Thursday,64,199.44444444444446
Thursday,65,187.0
Thursday,66,185.1
Thursday,67,183.0
Thursday,68,190.14285714285714
Thursday,69,190.0
Thursday,70,186.4
Thursday,71,186.11111111111111
Thursday,72,193.66666666666666
Thursday,73,190.1
Thursday,74,173.5
Thursday,75,127.375
Thursday,76,125.125
Thursday,77,123.28571428571429
Thursday,78,124.6
Thursday,79,115.33333333333333
Thursday,80,128.3
Thursday,81,128.1
Thursday,82,123.88888888888889
Thursday,83,118.625
Thursday,84,124.66666666666667
Thursday,85,127.125
Thursday,86,122.125
Thursday,87,81.77777777777777
Thursday,88,43.2
Thursday,89,44.1
Thursday,90,39.6
Thursday,91,42.9
Thursday,92,39.2
Thursday,93,42.1
Thursday,94,43.4
Thursday,95,37.666666666666664
Tuesday,0,41.666666666666664
Tuesday,1,45.44444444444444
Tuesday,2,42.55555555555556
Tuesday,3,42.77777777777778
Tuesday,4,46.5
Tuesday,5,49.2
Tuesday,6,41.5
Tuesday,7,41.4
Tuesday,8,49.4
Tuesday,9,48.0
Tuesday,10,41.5
Tuesday,11,44.2
Tuesday,12,41.6
Tuesday,13,42.9
Tuesday,14,55.9
Tuesday,15,63.1
Tuesday,16,81.1
Tuesday,17,107.0
Tuesday,18,100.2
Tuesday,19,108.3
Tuesday,20,106.8
Tuesday,21,108.9
Tuesday,22,103.6
Tuesday,23,134.5
Tuesday,24,173.22222222222223
Tuesday,25,177.9
Tuesday,26,171.8
Tuesday,27,171.8
Tuesday,28,163.44444444444446
Tuesday,29,168.7
Tuesday,30,161.9
Tuesday,31,170.5
Tuesday,32,175.1
Tuesday,33,171.5
Tuesday,34,172.5
Tuesday,35,172.55555555555554
Tuesday,36,143.1
Tuesday,37,100.55555555555556
Tuesday,38,85.66666666666667
Tuesday,39,98.88888888888889
Tuesday,40,99.0
Tuesday,41,99.0
Tuesday,42,97.4
Tuesday,43,94.8
Tuesday,44,83.6
Tuesday,45,93.1
Tuesday,46,89.4
Tuesday,47,83.88888888888889
Tuesday,48,82.0
Tuesday,49,84.0
Tuesday,50,80.7
Tuesday,51,91.1
Tuesday,52,93.11111111111111
Tuesday,53,95.125
Tuesday,54,106.44444444444444
Tuesday,55,101.14285714285714
Tuesday,56,96.85714285714286
Tuesday,57,97.0
Tuesday,58,106.625
Tuesday,59,97.7
Tuesday,60,101.55555555555556
Tuesday,61,129.88888888888889
Tuesday,62,92.66666666666667
Tuesday,63,156.0
Tuesday,64,197.8
Tuesday,65,191.3
Tuesday,66,183.4
Tuesday,67,184.33333333333334
Tuesday,68,189.875
Tuesday,69,185.0
Tuesday,70,181.0
Tuesday,71,192.7
Tuesday,72,196.33333333333334
Tuesday,73,182.125
Tuesday,74,158.2
Tuesday,75,134.14285714285714
Tuesday,76,123.5
Tuesday,77,132.22222222222223
Tuesday,78,117.66666666666667
Tuesday,79,128.33333333333334
Tuesday,80,122.75
Tuesday,81,123.2
Tuesday,82,118.66666666666667
Tuesday,83,124.16666666666667
Tuesday,84,131.125
Tuesday,85,120.14285714285714
Tuesday,86,127.88888888888889
Tuesday,87,73.33333333333333
Tuesday,88,38.4
Tuesday,89,39.5
Tuesday,90,44.2
Tuesday,91,43.2
Tuesday,92,47.2
Tuesday,93,43.5
Tuesday,94,42.3
Tuesday,95,45.4
Wednesday,0,43.7
Wednesday,1,43.3
Wednesday,2,40.9
Wednesday,3,40.4
Wednesday,4,36.8
Wednesday,5,43.9
Wednesday,6,40.0
Wednesday,7,43.6
Wednesday,8,43.8
Wednesday,9,46.3
Wednesday,10,41.2
Wednesday,11,40.8
Wednesday,12,46.7
Wednesday,13,41.9
Wednesday,14,48.9
Wednesday,15,45.9
Wednesday,16,76.9
Wednesday,17,106.0
Wednesday,18,108.5
Wednesday,19,119.6
Wednesday,20,106.2
Wednesday,21,109.0
Wednesday,22,104.1
Wednesday,23,129.9
Wednesday,24,177.77777777777777
Wednesday,25,181.0
Wednesday,26,177.22222222222223
Wednesday,27,177.7
Wednesday,28,176.1
Wednesday,29,180.66666666666666
Wednesday,30,180.3
Wednesday,31,181.3
Wednesday,32,192.8
Wednesday,33,182.6
Wednesday,34,167.125
Wednesday,35,176.1
Wednesday,36,146.66666666666666
Wednesday,37,105.33333333333333
Wednesday,38,99.6
Wednesday,39,98.55555555555556
Wednesday,40,93.44444444444444
Wednesday,41,87.16666666666667
Wednesday,42,104.11111111111111
Wednesday,43,85.28571428571429
Wednesday,44,82.8
Wednesday,45,85.4
Wednesday,46,85.7
Wednesday,47,90.5
Wednesday,48,86.1
Wednesday,49,97.1
Wednesday,50,79.9
Wednesday,51,89.6
Wednesday,52,78.6
Wednesday,53,111.9
Wednesday,54,104.11111111111111
Wednesday,55,114.125
Wednesday,56,98.66666666666667
Wednesday,57,95.83333333333333
Wednesday,58,116.875
Wednesday,59,111.28571428571429
Wednesday,60,84.44444444444444
Wednesday,61,99.57142857142857
Wednesday,62,105.75
Wednesday,63,143.0
Wednesday,64,190.375
Wednesday,65,175.77777777777777
Wednesday,66,190.11111111111111
Wednesday,67,197.66666666666666
Wednesday,68,182.5
Wednesday,69,191.1
Wednesday,70,185.55555555555554
Wednesday,71,188.33333333333334
Wednesday,72,180.55555555555554
Wednesday,73,187.5
Wednesday,74,162.375
Wednesday,75,128.33333333333334
Wednesday,76,135.0
Wednesday,77,112.375
Wednesday,78,126.5
Wednesday,79,134.6
Wednesday,80,135.71428571428572
Wednesday,81,121.33333333333333
Wednesday,82,127.77777777777777
Wednesday,83,122.4
Wednesday,84,122.5
Wednesday,85,130.375
Wednesday,86,131.44444444444446
Wednesday,87,81.875
Wednesday,88,41.4
Wednesday,89,40.1
Wednesday,90,44.2
Wednesday,91,42.8
Wednesday,92,44.0
Wednesday,93,39.8
Wednesday,94,42.7
Wednesday,95,41.7
